STS	NMB	LNK	SYM	STY	MKT	EFT	SDE	PRC	SIZ	TRM	OPD	HDI	VER	DCV	TPA	TGP	BOK	ODT	IND	TRD	RGR	STD	STT	CLR	BRK	MBR	ACC	ACT	TOB	TOU	GRS	BNK	BKA	UTY	UTI	UUI	UWS	REF	CSQ	MKP	SSL	PRT	IAC	OQY	CQY	LQY	APX	LPX	OST	CLI	OCL	TXT	ROL	OSQ	IWF	IAL	EWF	EAL	DEA
1	37229152	0	ACBU	SHARE-ATS	XRS1	2018-09-05 16:36:12.15	2	2.500.000	220	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-05 16:36:12.15	UK8GW3	192.168.252.2		135355	0	0	3	1031605	220	0	0	0.000000	0.000000	0				0	228516884	0	N	3	N	N
1	36691238	0	ACBU	SHARE-ATS	XRS1	2018-09-05 14:37:20.789	2	3.900.000	180	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-05 14:37:20.79	UK8GW3	192.168.252.2		135312	0	0	3	1012931	180	0	0	0.000000	0.000000	0				0	228427818	0	N	3	N	N
1	37229374	0	ALT	SHARE	REGS	2018-09-05 17:16:20.489	2	0.043000	9811	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-05 17:16:20.489	UK8GW3	192.168.252.2		135379	0	0	3	1031605	9811	0	0	0.000000	0.000000	0				0	228565735	0	N	3	N	N
1	37229376	0	AMAL	SHARE	XRS1	2018-09-05 17:17:41.36	2	0.480000	1935	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-05 17:17:41.36	UK8GW3	192.168.252.2		135380	0	0	3	1031605	1935	0	0	0.000000	0.000000	0				0	228567548	0	N	3	N	N
0	37222069	0	AMY	SHARE	XRS1	2018-09-04 12:21:59.261	2	0.990000	4000	1	20180904	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			11	2018-09-05 00:00:11.481	system	system		0	0	0	3	1010865	4000	0	0	0.000000	0.000000	12			72/out of term	0	228227859	0	N	3	N	N
1	37225756	0	AMY	SHARE	XRS1	2018-09-05 10:26:03.152	2	0.990000	5000	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-05 10:26:03.153	UK8GW3	192.168.252.2		135160	0	0	3	1010865	5000	0	0	0.000000	0.000000	0				0	228257938	0	N	3	N	N
1	37225914	0	ARCV	SHARE	XRS1	2018-09-05 10:27:14.224	2	0.018000	200000	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-05 10:27:14.224	UK8GW3	192.168.252.2		135162	0	0	3	1010865	200000	0	0	0.000000	0.000000	0				0	228258798	0	N	3	N	N
0	37222109	0	ARCV	SHARE	XRS1	2018-09-04 12:29:40.135	2	0.018600	100000	1	20180904	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			11	2018-09-05 00:00:11.328	system	system		0	0	0	3	1010865	100000	0	0	0.000000	0.000000	12			72/out of term	0	228227840	0	N	3	N	N
1	37229196	0	ATB	SHARE	REGS	2018-09-05 16:43:38.015	1	0.497000	2000	1	20180905	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-05 16:43:38.015	UK8GW3	192.168.252.2		135365	0	0	3	1032430	2000	0	0	0.000000	0.000000	0				0	228526489	0	N	3	N	N
0	37228671	0	ATPA	SHARE	XRS1	2018-09-05 14:35:21.026	1	1.100.000	1000	1	20180905	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			0	2018-09-05 16:43:33.495	UK8GW3	192.168.252.2		135364	0	0	3	1027170	1000	0	0	0.000000	0.000000	4				0	228526418	0	N	3	N	N
1	37228671	0	ATPA	SHARE	XRS1	2018-09-05 14:35:21.026	1	1.100.000	1000	1	20180905	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-05 14:35:21.026	UK8GW3	192.168.252.2		135310	0	0	3	1027170	1000	0	0	0.000000	0.000000	0				0	228426479	0	N	3	N	N
1	36758828	0	ATPA	SHARE	XRS1	2018-09-05 14:38:45.921	2	1.290.000	213	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-05 14:38:45.921	UK8GW3	192.168.252.2		135313	0	0	3	1012931	213	0	0	0.000000	0.000000	0				0	228428450	0	N	3	N	N
0	36758828	0	ATPA	SHARE	XRS1	2018-09-05 14:38:45.921	2	1.290.000	213	2	0	0	0	0	1	0.000000	1	1	0	16757665	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-05 18:00:00.648	UK8GW3	192.168.252.2		0	0	0	3	1012931	213	213	213	1.320.000	1.320.000	2				0	228621739	0	N	3	N	N
1	37229612	0	ATPA	SHARE	XRS1	2018-09-05 17:59:53.381	1	1.060.000	41	1	20180905	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-05 17:59:53.381	UK8GW3	192.168.252.2		135402	0	0	3	1031605	41	0	0	0.000000	0.000000	0				0	228621124	0	N	3	N	N
1	37229570	0	ATPA	SHARE	XRS1	2018-09-05 17:53:19.584	1	1.200.000	300	1	20180905	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-05 17:53:19.584	UK8GW3	192.168.252.2		135395	0	0	3	1027170	300	0	0	0.000000	0.000000	0				0	228613474	0	N	3	N	N
1	37229489	0	ATPA	SHARE	XRS1	2018-09-05 17:39:01.158	1	1.100.000	45	1	20180905	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-05 17:39:01.158	UK8GW3	192.168.252.2		135392	0	0	3	1012931	45	0	0	0.000000	0.000000	0				0	228594375	0	N	3	N	N
