STS	NMB	LNK	SYM	STY	MKT	EFT	SDE	PRC	SIZ	TRM	OPD	HDI	VER	DCV	TPA	TGP	BOK	ODT	IND	TRD	RGR	STD	STT	CLR	BRK	MBR	ACC	ACT	TOB	TOU	GRS	BNK	BKA	UTY	UTI	UUI	UWS	REF	CSQ	MKP	SSL	PRT	IAC	OQY	CQY	LQY	APX	LPX	OST	CLI	OCL	TXT	ROL	OSQ	IWF	IAL	EWF	EAL	DEA
0	37176535	0	AMO	SHARE	REGS	2018-08-22 10:00:26.634	1	0.002800	175000	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			0	2018-09-04 16:28:17.143	UK8GW3	192.168.252.2		135040	0	0	3	1005902	175000	0	0	0.000000	0.000000	4				0	228134078	0	N	3	N	N
1	37222069	0	AMY	SHARE	XRS1	2018-09-04 12:21:59.261	2	0.990000	4000	1	20180904	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-04 12:21:59.261	UK8GW3	192.168.252.2		134968	0	0	3	1010865	4000	0	0	0.000000	0.000000	0				0	228037937	0	N	3	N	N
1	37222109	0	ARCV	SHARE	XRS1	2018-09-04 12:29:40.135	2	0.018600	100000	1	20180904	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-04 12:29:40.135	UK8GW3	192.168.252.2		134977	0	0	3	1010865	100000	0	0	0.000000	0.000000	0				0	228041637	0	N	3	N	N
0	37061827	0	ARJI	SHARE-ATS	XRS1	2018-08-01 11:59:23.8	2	24.000000	3	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			0	2018-09-04 17:06:10.279	UK8GW3	192.168.252.2		135056	0	0	3	1012931	3	0	0	0.000000	0.000000	4				0	228167490	0	N	3	N	N
1	36758828	0	ATPA	SHARE	XRS1	2018-09-04 09:38:51.819	2	1.340000	213	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-04 09:38:51.819	UK8GW3	192.168.252.2		134924	0	0	3	1012931	213	0	0	0.000000	0.000000	0				0	227966275	0	N	3	N	N
1	36657051	0	ATRD	SHARE-ATS	XRS1	2018-09-04 15:47:29.396	2	12.200000	21	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-04 15:47:29.397	UK8GW3	192.168.252.2		135034	0	0	3	1012931	21	0	0	0.000000	0.000000	0				0	228122295	0	N	3	N	N
0	37216256	0	BALO	SHARE-ATS	XRS1	2018-09-03 16:44:52.148	2	7.900000	140	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			0	2018-09-04 09:30:02.032	UK8GW3	192.168.252.2		134914	0	0	3	1027170	140	0	0	0.000000	0.000000	4				0	227965563	0	N	3	N	N
0	37223813	0	BIO		REGS	2018-09-04 18:00:35.415	1	0.300000	5000	2	20181105	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	0			0			14	2018-09-04 18:00:35.415	UK8GW3	192.168.252.2		135101	0	0	3	1032430	0	0	0	0.000000	0.000000	8			12/fxprice and order price are not equal	0	228206361	0	N	3	N	N
0	37223818	0	BIO		REGS	2018-09-04 18:02:30.695	1	0.310000	5000	2	20181105	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	0			0			14	2018-09-04 18:02:30.695	UK8GW3	192.168.252.2		135107	0	0	3	1032430	0	0	0	0.000000	0.000000	8			12/fxprice and order price are not equal	0	228207561	0	N	3	N	N
0	37223817	0	BIO		REGS	2018-09-04 18:02:02.019	1	0.300000	5000	2	20181105	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	0			0			14	2018-09-04 18:02:02.019	UK8GW3	192.168.252.2		135105	0	0	3	1032430	0	0	0	0.000000	0.000000	8			12/fxprice and order price are not equal	0	228207215	0	N	3	N	N
